Customer Name-1,Row ID,Order ID,Customer ID,Product ID,Product Name,Customer Name,Country,State,City,Postal Code,Order Date,Ship Date,Ship Mode,Segment,Category,Sub-Category,Sales,Quantity,Profit,Discount,Region,Manufacturer,Return Reason,ï»¿Row ID
C Arnold,4720,CA-2016-142601,DE-13255,OFF-ST-10002756,"Tennsco Stur-D-Stor Boltless Shelving, 5 Shelves, 24"" Deep, Sand",Deanra Eno,United States,CA,Los Angeles,90004,18-04-2016,20-04-2016,Second Class,Home Office,Office Supplies,Storage,947.16999999999996,7,9.471700000,0,West,Tennsco,customer meant to order different color.,
C Arnold,4720,CA-2016-142601,DE-13255,OFF-ST-10002756,"Tennsco Stur-D-Stor Boltless Shelving, 5 Shelves, 24"" Deep, Sand",Deanra Eno,United States,CA,Los Angeles,90004,18-04-2016,20-04-2016,Second Class,Home Office,Office Supplies,Storage,947.16999999999996,7,9.471700000,0,West,Tennsco,customer meant to order different color.,
E   Williams,2536,CA-2016-143238,LO-17170,TEC-AC-10003499,Memorex Mini Travel Drive 8 GB USB 2.0 Flash Drive,Lori Olson,United States,CA,La Quinta,92253,06-09-2016,08-09-2016,First Class,Corporate,Technology,Accessories,46.32,4,18.0648,0,West,Memorex,Appeared to be corrupt,
G Lindsay,1093,CA-2016-143490,NP-18325,TEC-PH-10000576,AT&T 1080 Corded phone,Naresj Patel,United States,CA,San Diego,92105,06-12-2016,13-12-2016,Standard Class,Consumer,Technology,Phones,219.184,2,19.1786,0.20000000000000001,West,AT&T,Website listed cord as 6' and item cord is 5',
G Lindsay,1093,CA-2016-143490,NP-18325,TEC-PH-10000576,AT&T 1080 Corded phone,Naresj Patel,United States,CA,San Diego,92105,06-12-2016,13-12-2016,Standard Class,Consumer,Technology,Phones,219.184,2,19.1786,0.20000000000000001,West,AT&T,Website listed cord as 6' and item cord is 5',
M/ Gomez,886,CA-2016-143602,JS-15595,OFF-BI-10002071,Fellowes Black Plastic Comb Bindings,Jill Stevenson,United States,CA,Los Angeles,90045,25-04-2016,28-04-2016,Second Class,Corporate,Office Supplies,Binders,13.943999999999999,3,4.5318,0.20000000000000001,West,Fellowes,bindings were not compatible with machine,
G. Lindsay,779,CA-2016-144267,NZ-18565,OFF-PA-10000157,Xerox 191,Nick Zandusky,United States,CA,San Francisco,94110,21-08-2016,23-08-2016,First Class,Home Office,Office Supplies,Paper,59.939999999999998,3,28.1718,0,West,Xerox,customer ordered too much paper.,
G. Lindsay,780,CA-2016-144267,NZ-18565,OFF-PA-10001947,Xerox 1974,Nick Zandusky,United States,CA,San Francisco,94110,21-08-2016,23-08-2016,First Class,Home Office,Office Supplies,Paper,23.920000000000002,4,11.7208,0,West,Xerox,customer ordered too much paper.,
G. Lindsay,779,CA-2016-144267,NZ-18565,OFF-PA-10000157,Xerox 191,Nick Zandusky,United States,CA,San Francisco,94110,21-08-2016,23-08-2016,First Class,Home Office,Office Supplies,Paper,59.939999999999998,3,28.1718,0,West,Xerox,customer ordered too much paper.,
G. Lindsay,780,CA-2016-144267,NZ-18565,OFF-PA-10001947,Xerox 1974,Nick Zandusky,United States,CA,San Francisco,94110,21-08-2016,23-08-2016,First Class,Home Office,Office Supplies,Paper,23.920000000000002,4,11.7208,0,West,Xerox,customer ordered too much paper.,
G. Lindsay,779,CA-2016-144267,NZ-18565,OFF-PA-10000157,Xerox 191,Nick Zandusky,United States,CA,San Francisco,94110,21-08-2016,23-08-2016,First Class,Home Office,Office Supplies,Paper,59.939999999999998,3,28.1718,0,West,Xerox,customer ordered too much paper.,
G. Lindsay,780,CA-2016-144267,NZ-18565,OFF-PA-10001947,Xerox 1974,Nick Zandusky,United States,CA,San Francisco,94110,21-08-2016,23-08-2016,First Class,Home Office,Office Supplies,Paper,23.920000000000002,4,11.7208,0,West,Xerox,customer ordered too much paper.,
G. Lindsay,779,CA-2016-144267,NZ-18565,OFF-PA-10000157,Xerox 191,Nick Zandusky,United States,CA,San Francisco,94110,21-08-2016,23-08-2016,First Class,Home Office,Office Supplies,Paper,59.939999999999998,3,28.1718,0,West,Xerox,customer ordered too much paper.,
G. Lindsay,780,CA-2016-144267,NZ-18565,OFF-PA-10001947,Xerox 1974,Nick Zandusky,United States,CA,San Francisco,94110,21-08-2016,23-08-2016,First Class,Home Office,Office Supplies,Paper,23.920000000000002,4,11.7208,0,West,Xerox,customer ordered too much paper.,
G Lindsay,3677,CA-2016-156440,MH-17620,FUR-FU-10004090,"Executive Impressions 14"" Contract Wall Clock",Matt Hagelstein,United States,CA,San Diego,92105,05-12-2016,09-12-2016,Standard Class,Corporate,Furniture,Furnishings,44.460000000000001,2,14.6718,0,West,Executive Impressions,Customer wanted digital clock,
F. Azad,3291,CA-2016-157770,RD-19585,TEC-AC-10003399,Memorex Mini Travel Drive 64 GB USB 2.0 Flash Drive,Rob Dowd,United States,CA,Temecula,92592,13-12-2016,15-12-2016,First Class,Consumer,Technology,Accessories,36.240000000000002,1,15.2208,0,West,Memorex,Drive appeared corrupt,
F. Azad,3291,CA-2016-157770,RD-19585,TEC-AC-10003399,Memorex Mini Travel Drive 64 GB USB 2.0 Flash Drive,Rob Dowd,United States,CA,Temecula,92592,13-12-2016,15-12-2016,First Class,Consumer,Technology,Accessories,36.240000000000002,1,15.2208,0,West,Memorex,Drive appeared corrupt,
F. Azad,3291,CA-2016-157770,RD-19585,TEC-AC-10003399,Memorex Mini Travel Drive 64 GB USB 2.0 Flash Drive,Rob Dowd,United States,CA,Temecula,92592,13-12-2016,15-12-2016,First Class,Consumer,Technology,Accessories,36.240000000000002,1,15.2208,0,West,Memorex,Drive appeared corrupt,
F. Azad,3291,CA-2016-157770,RD-19585,TEC-AC-10003399,Memorex Mini Travel Drive 64 GB USB 2.0 Flash Drive,Rob Dowd,United States,CA,Temecula,92592,13-12-2016,15-12-2016,First Class,Consumer,Technology,Accessories,36.240000000000002,1,15.2208,0,West,Memorex,Drive appeared corrupt,
c. arnold,2113,CA-2016-164882,SG-20080,OFF-SU-10004231,Acme Tagit Stainless Steel Antibacterial Scissors,Sandra Glassco,United States,CA,Redlands,92374,31-10-2016,31-10-2016,Same Day,Consumer,Office Supplies,Supplies,29.699999999999999,3,8.019,0,West,Acme,customer ordered too many,
c. arnold,2113,CA-2016-164882,SG-20080,OFF-SU-10004231,Acme Tagit Stainless Steel Antibacterial Scissors,Sandra Glassco,United States,CA,Redlands,92374,31-10-2016,31-10-2016,Same Day,Consumer,Office Supplies,Supplies,29.699999999999999,3,8.019,0,West,Acme,customer ordered too many,
c. arnold,2113,CA-2016-164882,SG-20080,OFF-SU-10004231,Acme Tagit Stainless Steel Antibacterial Scissors,Sandra Glassco,United States,CA,Redlands,92374,31-10-2016,31-10-2016,Same Day,Consumer,Office Supplies,Supplies,29.699999999999999,3,8.019,0,West,Acme,customer ordered too many,
c. arnold,2113,CA-2016-164882,SG-20080,OFF-SU-10004231,Acme Tagit Stainless Steel Antibacterial Scissors,Sandra Glassco,United States,CA,Redlands,92374,31-10-2016,31-10-2016,Same Day,Consumer,Office Supplies,Supplies,29.699999999999999,3,8.019,0,West,Acme,customer ordered too many,
c. arnold,2113,CA-2016-164882,SG-20080,OFF-SU-10004231,Acme Tagit Stainless Steel Antibacterial Scissors,Sandra Glassco,United States,CA,Redlands,92374,31-10-2016,31-10-2016,Same Day,Consumer,Office Supplies,Supplies,29.699999999999999,3,8.019,0,West,Acme,customer ordered too many,
c. arnold,2113,CA-2016-164882,SG-20080,OFF-SU-10004231,Acme Tagit Stainless Steel Antibacterial Scissors,Sandra Glassco,United States,CA,Redlands,92374,31-10-2016,31-10-2016,Same Day,Consumer,Office Supplies,Supplies,29.699999999999999,3,8.019,0,West,Acme,customer ordered too many,
c. arnold,2113,CA-2016-164882,SG-20080,OFF-SU-10004231,Acme Tagit Stainless Steel Antibacterial Scissors,Sandra Glassco,United States,CA,Redlands,92374,31-10-2016,31-10-2016,Same Day,Consumer,Office Supplies,Supplies,29.699999999999999,3,8.019,0,West,Acme,customer ordered too many,
c. arnold,2113,CA-2016-164882,SG-20080,OFF-SU-10004231,Acme Tagit Stainless Steel Antibacterial Scissors,Sandra Glassco,United States,CA,Redlands,92374,31-10-2016,31-10-2016,Same Day,Consumer,Office Supplies,Supplies,29.699999999999999,3,8.019,0,West,Acme,customer ordered too many,
c. arnold,2113,CA-2016-164882,SG-20080,OFF-SU-10004231,Acme Tagit Stainless Steel Antibacterial Scissors,Sandra Glassco,United States,CA,Redlands,92374,31-10-2016,31-10-2016,Same Day,Consumer,Office Supplies,Supplies,29.699999999999999,3,8.019,0,West,Acme,customer ordered too many,
R Chen,91,CA-2017-109806,JS-15685,TEC-PH-10004093,Panasonic Kx-TS550,Jim Sink,United States,CA,Los Angeles,90036,17-09-2017,22-09-2017,Standard Class,Corporate,Technology,Phones,73.584000000000003,2,8.2782,0.20000000000000001,West,Panasonic,Customer found comparable product at local store,
R Chen,91,CA-2017-109806,JS-15685,TEC-PH-10004093,Panasonic Kx-TS550,Jim Sink,United States,CA,Los Angeles,90036,17-09-2017,22-09-2017,Standard Class,Corporate,Technology,Phones,73.584000000000003,2,8.2782,0.20000000000000001,West,Panasonic,Customer found comparable product at local store,
R Chen,91,CA-2017-109806,JS-15685,TEC-PH-10004093,Panasonic Kx-TS550,Jim Sink,United States,CA,Los Angeles,90036,17-09-2017,22-09-2017,Standard Class,Corporate,Technology,Phones,73.584000000000003,2,8.2782,0.20000000000000001,West,Panasonic,Customer found comparable product at local store,
R Duchesne,8647,CA-2017-113341,MH-17455,FUR-CH-10004698,"Padded Folding Chairs, Black, 4/Carton",Mark Hamilton,United States,CA,Los Angeles,90032,25-11-2017,29-11-2017,Standard Class,Consumer,Furniture,Chairs,194.352,3,19.4352,0.20000000000000001,West,Other,White chairs were shipped. Customer just wants refund,
S Kelly,6791,CA-2017-124527,IM-15055,OFF-BI-10004967,Round Ring Binders,Ionia McGrath,United States,CA,Roseville,95661,16-11-2017,17-11-2017,First Class,Consumer,Office Supplies,Binders,8.3200000000000003,5,2.808,0.20000000000000001,West,Other,"item was received too late, customer found item in store first",
E Williams,382,CA-2017-134775,AS-10285,OFF-PA-10004734,Southworth Structures Collection,Alejandro Savely,United States,CA,San Francisco,94109,28-10-2017,29-10-2017,First Class,Corporate,Office Supplies,Paper,50.960000000000001,7,25.48,0,West,Southworth,Customer meant to order different cards.,
E Williams,382,CA-2017-134775,AS-10285,OFF-PA-10004734,Southworth Structures Collection,Alejandro Savely,United States,CA,San Francisco,94109,28-10-2017,29-10-2017,First Class,Corporate,Office Supplies,Paper,50.960000000000001,7,25.48,0,West,Southworth,Customer meant to order different cards.,
C Arnold,3425,CA-2017-134803,CL-12565,TEC-MA-10001972,Okidata C331dn Printer,Clay Ludtke,United States,CA,Los Angeles,90004,28-05-2017,03-06-2017,Standard Class,Consumer,Technology,Machines,558.39999999999998,2,41.88,0.20000000000000001,West,Okidata,Replacement machine sent,
C Arnold,3425,CA-2017-134803,CL-12565,TEC-MA-10001972,Okidata C331dn Printer,Clay Ludtke,United States,CA,Los Angeles,90004,28-05-2017,03-06-2017,Standard Class,Consumer,Technology,Machines,558.39999999999998,2,41.88,0.20000000000000001,West,Okidata,Replacement machine sent,
C Arnold,3425,CA-2017-134803,CL-12565,TEC-MA-10001972,Okidata C331dn Printer,Clay Ludtke,United States,CA,Los Angeles,90004,28-05-2017,03-06-2017,Standard Class,Consumer,Technology,Machines,558.39999999999998,2,41.88,0.20000000000000001,West,Okidata,Replacement machine sent,
C Arnold,3425,CA-2017-134803,CL-12565,TEC-MA-10001972,Okidata C331dn Printer,Clay Ludtke,United States,CA,Los Angeles,90004,28-05-2017,03-06-2017,Standard Class,Consumer,Technology,Machines,558.39999999999998,2,41.88,0.20000000000000001,West,Okidata,Replacement machine sent,
C Arnold,3425,CA-2017-134803,CL-12565,TEC-MA-10001972,Okidata C331dn Printer,Clay Ludtke,United States,CA,Los Angeles,90004,28-05-2017,03-06-2017,Standard Class,Consumer,Technology,Machines,558.39999999999998,2,41.88,0.20000000000000001,West,Okidata,Replacement machine sent,
R Chen,5398,CA-2017-145492,MC-17605,OFF-AP-10003622,"Bravo II Megaboss 12-Amp Hard Body Upright, Replacement Belts, 2 Belts per Pack",Matt Connell,United States,CA,Los Angeles,90004,20-11-2017,27-11-2017,Standard Class,Corporate,Office Supplies,Appliances,39,12,11.31,0,West,Other,customer found item cheaper at online discount store,
C Arnold,138,CA-2017-145583,LC-16885,OFF-BI-10004781,GBC Wire Binding Strips,Lena Creighton,United States,CA,Roseville,95661,13-10-2017,19-10-2017,Standard Class,Consumer,Office Supplies,Binders,76.176000000000002,3,26.6616,0.20000000000000001,West,GBC,This item was never shipped. Did not arrive with order,
M Gomez,140,CA-2017-145583,LC-16885,FUR-FU-10001706,Longer-Life Soft White Bulbs,Lena Creighton,United States,CA,Roseville,95661,13-10-2017,19-10-2017,Standard Class,Consumer,Furniture,Furnishings,43.119999999999997,14,20.6976,0,West,Other,customer got item cheaper at online discount store,
C Arnold,138,CA-2017-145583,LC-16885,OFF-BI-10004781,GBC Wire Binding Strips,Lena Creighton,United States,CA,Roseville,95661,13-10-2017,19-10-2017,Standard Class,Consumer,Office Supplies,Binders,76.176000000000002,3,26.6616,0.20000000000000001,West,GBC,This item was never shipped. Did not arrive with order,
M Gomez,140,CA-2017-145583,LC-16885,FUR-FU-10001706,Longer-Life Soft White Bulbs,Lena Creighton,United States,CA,Roseville,95661,13-10-2017,19-10-2017,Standard Class,Consumer,Furniture,Furnishings,43.119999999999997,14,20.6976,0,West,Other,customer got item cheaper at online discount store,
C Arnold,138,CA-2017-145583,LC-16885,OFF-BI-10004781,GBC Wire Binding Strips,Lena Creighton,United States,CA,Roseville,95661,13-10-2017,19-10-2017,Standard Class,Consumer,Office Supplies,Binders,76.176000000000002,3,26.6616,0.20000000000000001,West,GBC,This item was never shipped. Did not arrive with order,
M Gomez,140,CA-2017-145583,LC-16885,FUR-FU-10001706,Longer-Life Soft White Bulbs,Lena Creighton,United States,CA,Roseville,95661,13-10-2017,19-10-2017,Standard Class,Consumer,Furniture,Furnishings,43.119999999999997,14,20.6976,0,West,Other,customer got item cheaper at online discount store,
C Arnold,138,CA-2017-145583,LC-16885,OFF-BI-10004781,GBC Wire Binding Strips,Lena Creighton,United States,CA,Roseville,95661,13-10-2017,19-10-2017,Standard Class,Consumer,Office Supplies,Binders,76.176000000000002,3,26.6616,0.20000000000000001,West,GBC,This item was never shipped. Did not arrive with order,
M Gomez,140,CA-2017-145583,LC-16885,FUR-FU-10001706,Longer-Life Soft White Bulbs,Lena Creighton,United States,CA,Roseville,95661,13-10-2017,19-10-2017,Standard Class,Consumer,Furniture,Furnishings,43.119999999999997,14,20.6976,0,West,Other,customer got item cheaper at online discount store,
C Arnold,138,CA-2017-145583,LC-16885,OFF-BI-10004781,GBC Wire Binding Strips,Lena Creighton,United States,CA,Roseville,95661,13-10-2017,19-10-2017,Standard Class,Consumer,Office Supplies,Binders,76.176000000000002,3,26.6616,0.20000000000000001,West,GBC,This item was never shipped. Did not arrive with order,
M Gomez,140,CA-2017-145583,LC-16885,FUR-FU-10001706,Longer-Life Soft White Bulbs,Lena Creighton,United States,CA,Roseville,95661,13-10-2017,19-10-2017,Standard Class,Consumer,Furniture,Furnishings,43.119999999999997,14,20.6976,0,West,Other,customer got item cheaper at online discount store,
C Arnold,138,CA-2017-145583,LC-16885,OFF-BI-10004781,GBC Wire Binding Strips,Lena Creighton,United States,CA,Roseville,95661,13-10-2017,19-10-2017,Standard Class,Consumer,Office Supplies,Binders,76.176000000000002,3,26.6616,0.20000000000000001,West,GBC,This item was never shipped. Did not arrive with order,
M Gomez,140,CA-2017-145583,LC-16885,FUR-FU-10001706,Longer-Life Soft White Bulbs,Lena Creighton,United States,CA,Roseville,95661,13-10-2017,19-10-2017,Standard Class,Consumer,Furniture,Furnishings,43.119999999999997,14,20.6976,0,West,Other,customer got item cheaper at online discount store,
C Arnold,138,CA-2017-145583,LC-16885,OFF-BI-10004781,GBC Wire Binding Strips,Lena Creighton,United States,CA,Roseville,95661,13-10-2017,19-10-2017,Standard Class,Consumer,Office Supplies,Binders,76.176000000000002,3,26.6616,0.20000000000000001,West,GBC,This item was never shipped. Did not arrive with order,
M Gomez,140,CA-2017-145583,LC-16885,FUR-FU-10001706,Longer-Life Soft White Bulbs,Lena Creighton,United States,CA,Roseville,95661,13-10-2017,19-10-2017,Standard Class,Consumer,Furniture,Furnishings,43.119999999999997,14,20.6976,0,West,Other,customer got item cheaper at online discount store,
S Kelly,9710,CA-2017-161746,CS-11950,OFF-ST-10002743,SAFCO Boltless Steel Shelving,Carlos Soltero,United States,CA,Los Angeles,90045,21-10-2017,27-10-2017,Standard Class,Consumer,Office Supplies,Storage,340.92000000000002,3,3.409200000,0,West,SAFCO,customer found cheaper item on discount site,
S Kelly,9710,CA-2017-161746,CS-11950,OFF-ST-10002743,SAFCO Boltless Steel Shelving,Carlos Soltero,United States,CA,Los Angeles,90045,21-10-2017,27-10-2017,Standard Class,Consumer,Office Supplies,Storage,340.92000000000002,3,3.409200000,0,West,SAFCO,customer found cheaper item on discount site,
S Kelly,9710,CA-2017-161746,CS-11950,OFF-ST-10002743,SAFCO Boltless Steel Shelving,Carlos Soltero,United States,CA,Los Angeles,90045,21-10-2017,27-10-2017,Standard Class,Consumer,Office Supplies,Storage,340.92000000000002,3,3.409200000,0,West,SAFCO,customer found cheaper item on discount site,
S Kelly,9710,CA-2017-161746,CS-11950,OFF-ST-10002743,SAFCO Boltless Steel Shelving,Carlos Soltero,United States,CA,Los Angeles,90045,21-10-2017,27-10-2017,Standard Class,Consumer,Office Supplies,Storage,340.92000000000002,3,3.409200000,0,West,SAFCO,customer found cheaper item on discount site,
K Lawrence,7051,CA-2017-165330,WB-21850,OFF-BI-10004593,Ibico Laser Imprintable Binding System Covers,William Brown,United States,CA,Anaheim,92804,11-12-2017,11-12-2017,Same Day,Consumer,Office Supplies,Binders,209.59999999999999,5,68.12,0.20000000000000001,West,Ibico,Customer received covers that were not printer friendly,
K Lawrence,7051,CA-2017-165330,WB-21850,OFF-BI-10004593,Ibico Laser Imprintable Binding System Covers,William Brown,United States,CA,Anaheim,92804,11-12-2017,11-12-2017,Same Day,Consumer,Office Supplies,Binders,209.59999999999999,5,68.12,0.20000000000000001,West,Ibico,Customer received covers that were not printer friendly,
K Lawrence,7051,CA-2017-165330,WB-21850,OFF-BI-10004593,Ibico Laser Imprintable Binding System Covers,William Brown,United States,CA,Anaheim,92804,11-12-2017,11-12-2017,Same Day,Consumer,Office Supplies,Binders,209.59999999999999,5,68.12,0.20000000000000001,West,Ibico,Customer received covers that were not printer friendly,
K Lawrence,7051,CA-2017-165330,WB-21850,OFF-BI-10004593,Ibico Laser Imprintable Binding System Covers,William Brown,United States,CA,Anaheim,92804,11-12-2017,11-12-2017,Same Day,Consumer,Office Supplies,Binders,209.59999999999999,5,68.12,0.20000000000000001,West,Ibico,Customer received covers that were not printer friendly,
K Lawrence,7051,CA-2017-165330,WB-21850,OFF-BI-10004593,Ibico Laser Imprintable Binding System Covers,William Brown,United States,CA,Anaheim,92804,11-12-2017,11-12-2017,Same Day,Consumer,Office Supplies,Binders,209.59999999999999,5,68.12,0.20000000000000001,West,Ibico,Customer received covers that were not printer friendly,
K Lawrence,7051,CA-2017-165330,WB-21850,OFF-BI-10004593,Ibico Laser Imprintable Binding System Covers,William Brown,United States,CA,Anaheim,92804,11-12-2017,11-12-2017,Same Day,Consumer,Office Supplies,Binders,209.59999999999999,5,68.12,0.20000000000000001,West,Ibico,Customer received covers that were not printer friendly,
K Lawrence,7051,CA-2017-165330,WB-21850,OFF-BI-10004593,Ibico Laser Imprintable Binding System Covers,William Brown,United States,CA,Anaheim,92804,11-12-2017,11-12-2017,Same Day,Consumer,Office Supplies,Binders,209.59999999999999,5,68.12,0.20000000000000001,West,Ibico,Customer received covers that were not printer friendly,
K Lawrence,7051,CA-2017-165330,WB-21850,OFF-BI-10004593,Ibico Laser Imprintable Binding System Covers,William Brown,United States,CA,Anaheim,92804,11-12-2017,11-12-2017,Same Day,Consumer,Office Supplies,Binders,209.59999999999999,5,68.12,0.20000000000000001,West,Ibico,Customer received covers that were not printer friendly,
K Lawrence,7051,CA-2017-165330,WB-21850,OFF-BI-10004593,Ibico Laser Imprintable Binding System Covers,William Brown,United States,CA,Anaheim,92804,11-12-2017,11-12-2017,Same Day,Consumer,Office Supplies,Binders,209.59999999999999,5,68.12,0.20000000000000001,West,Ibico,Customer received covers that were not printer friendly,
K Lawrence,7051,CA-2017-165330,WB-21850,OFF-BI-10004593,Ibico Laser Imprintable Binding System Covers,William Brown,United States,CA,Anaheim,92804,11-12-2017,11-12-2017,Same Day,Consumer,Office Supplies,Binders,209.59999999999999,5,68.12,0.20000000000000001,West,Ibico,Customer received covers that were not printer friendly,
K Lawrence,7051,CA-2017-165330,WB-21850,OFF-BI-10004593,Ibico Laser Imprintable Binding System Covers,William Brown,United States,CA,Anaheim,92804,11-12-2017,11-12-2017,Same Day,Consumer,Office Supplies,Binders,209.59999999999999,5,68.12,0.20000000000000001,West,Ibico,Customer received covers that were not printer friendly,
K Lawrence,5462,CA-2018-101574,BD-11725,FUR-FU-10001706,Longer-Life Soft White Bulbs,Bruce Degenhardt,United States,CA,Los Angeles,90032,28-09-2018,04-10-2018,Standard Class,Consumer,Furniture,Furnishings,9.2400000000000002,3,4.4352,0,West,Other,Customer meant to order LED bulbs,
E Williams,4497,CA-2018-112753,CC-12670,OFF-PA-10002036,Xerox 1930,Craig Carreira,United States,CA,Los Angeles,90032,18-06-2018,23-06-2018,Standard Class,Consumer,Office Supplies,Paper,38.880000000000003,6,19.0512,0,West,Xerox,Customer ordered too many packs,
E Williams,4497,CA-2018-112753,CC-12670,OFF-PA-10002036,Xerox 1930,Craig Carreira,United States,CA,Los Angeles,90032,18-06-2018,23-06-2018,Standard Class,Consumer,Office Supplies,Paper,38.880000000000003,6,19.0512,0,West,Xerox,Customer ordered too many packs,
S. Kelly,3712,CA-2018-113670,RS-19765,OFF-PA-10000675,Xerox 1919,Roland Schwarz,United States,CA,Los Angeles,90045,15-10-2018,17-10-2018,First Class,Corporate,Office Supplies,Paper,204.94999999999999,5,100.4255,0,West,Xerox,doesn't need the paper now,
S. Kelly,3712,CA-2018-113670,RS-19765,OFF-PA-10000675,Xerox 1919,Roland Schwarz,United States,CA,Los Angeles,90045,15-10-2018,17-10-2018,First Class,Corporate,Office Supplies,Paper,204.94999999999999,5,100.4255,0,West,Xerox,doesn't need the paper now,
G Lindsay,9991,CA-2018-121258,DB-13060,FUR-FU-10000747,Tenex B1-RE Series Chair Mats for Low Pile Carpets,Dave Brooks,United States,CA,Costa Mesa,92627,26-02-2018,03-03-2018,Standard Class,Consumer,Furniture,Furnishings,91.959999999999994,2,15.6332,0,West,Tenex,Customer found mats cheaper at online discount store,
G Lindsay,9991,CA-2018-121258,DB-13060,FUR-FU-10000747,Tenex B1-RE Series Chair Mats for Low Pile Carpets,Dave Brooks,United States,CA,Costa Mesa,92627,26-02-2018,03-03-2018,Standard Class,Consumer,Furniture,Furnishings,91.959999999999994,2,15.6332,0,West,Tenex,Customer found mats cheaper at online discount store,
G Lindsay,9991,CA-2018-121258,DB-13060,FUR-FU-10000747,Tenex B1-RE Series Chair Mats for Low Pile Carpets,Dave Brooks,United States,CA,Costa Mesa,92627,26-02-2018,03-03-2018,Standard Class,Consumer,Furniture,Furnishings,91.959999999999994,2,15.6332,0,West,Tenex,Customer found mats cheaper at online discount store,
M. Gomez,2075,CA-2018-122504,DB-13270,TEC-PH-10002468,"Plantronics CS 50-USB - headset - Convertible, Monaural",Deborah Brumfield,United States,CA,Brentwood,94513,07-11-2018,12-11-2018,Second Class,Home Office,Technology,Phones,761.54399999999998,7,66.6351,0.20000000000000001,West,Plantronics,Customer didn't realize that headset only had one earphone,
M. Gomez,2075,CA-2018-122504,DB-13270,TEC-PH-10002468,"Plantronics CS 50-USB - headset - Convertible, Monaural",Deborah Brumfield,United States,CA,Brentwood,94513,07-11-2018,12-11-2018,Second Class,Home Office,Technology,Phones,761.54399999999998,7,66.6351,0.20000000000000001,West,Plantronics,Customer didn't realize that headset only had one earphone,
M Gomez,6577,CA-2018-123085,EJ-13720,FUR-CH-10003968,Novimex Turbo Task Chair,Ed Jacobs,United States,CA,Los Angeles,90008,03-03-2018,08-03-2018,Standard Class,Consumer,Furniture,Chairs,170.352,3,-17.0352,0.20000000000000001,West,Novimex,Customer didn't want a rolling chair,
M Gomez,6577,CA-2018-123085,EJ-13720,FUR-CH-10003968,Novimex Turbo Task Chair,Ed Jacobs,United States,CA,Los Angeles,90008,03-03-2018,08-03-2018,Standard Class,Consumer,Furniture,Chairs,170.352,3,-17.0352,0.20000000000000001,West,Novimex,Customer didn't want a rolling chair,
R. Chen,3058,CA-2018-131492,HH-15010,OFF-LA-10001641,Avery 518,Hilary Holden,United States,CA,San Francisco,94110,19-10-2018,24-10-2018,Second Class,Corporate,Office Supplies,Labels,31.5,10,15.12,0,West,Avery,Ordered too many.,
R. Chen,3058,CA-2018-131492,HH-15010,OFF-LA-10001641,Avery 518,Hilary Holden,United States,CA,San Francisco,94110,19-10-2018,24-10-2018,Second Class,Corporate,Office Supplies,Labels,31.5,10,15.12,0,West,Avery,Ordered too many.,
R. Chen,3058,CA-2018-131492,HH-15010,OFF-LA-10001641,Avery 518,Hilary Holden,United States,CA,San Francisco,94110,19-10-2018,24-10-2018,Second Class,Corporate,Office Supplies,Labels,31.5,10,15.12,0,West,Avery,Ordered too many.,
R. Chen,3058,CA-2018-131492,HH-15010,OFF-LA-10001641,Avery 518,Hilary Holden,United States,CA,San Francisco,94110,19-10-2018,24-10-2018,Second Class,Corporate,Office Supplies,Labels,31.5,10,15.12,0,West,Avery,Ordered too many.,
R Chen,7243,CA-2018-136651,JF-15355,FUR-FU-10004864,Eldon 500 Class Desk Accessories,Jay Fein,United States,CA,Pasadena,91104,23-04-2018,25-04-2018,Second Class,Consumer,Furniture,Furnishings,24.140000000000001,2,7.9662,0,West,Eldon,didn't match customers décor,
R Chen,7243,CA-2018-136651,JF-15355,FUR-FU-10004864,Eldon 500 Class Desk Accessories,Jay Fein,United States,CA,Pasadena,91104,23-04-2018,25-04-2018,Second Class,Consumer,Furniture,Furnishings,24.140000000000001,2,7.9662,0,West,Eldon,didn't match customers décor,
R Chen,7243,CA-2018-136651,JF-15355,FUR-FU-10004864,Eldon 500 Class Desk Accessories,Jay Fein,United States,CA,Pasadena,91104,23-04-2018,25-04-2018,Second Class,Consumer,Furniture,Furnishings,24.140000000000001,2,7.9662,0,West,Eldon,didn't match customers décor,
L Smith,7207,CA-2018-137414,CM-12115,TEC-MA-10002930,Ricoh - Ink Collector Unit for GX3000 Series Printers,Chad McGuire,United States,CA,San Francisco,94109,02-10-2018,06-10-2018,Standard Class,Consumer,Technology,Machines,369.16000000000003,11,32.3015,0.20000000000000001,West,Other,"corner was bent, so it didn't fit in printer.",
L Smith,7207,CA-2018-137414,CM-12115,TEC-MA-10002930,Ricoh - Ink Collector Unit for GX3000 Series Printers,Chad McGuire,United States,CA,San Francisco,94109,02-10-2018,06-10-2018,Standard Class,Consumer,Technology,Machines,369.16000000000003,11,32.3015,0.20000000000000001,West,Other,"corner was bent, so it didn't fit in printer.",
C Arnold,2963,CA-2018-137428,AY-10555,FUR-CH-10002774,"Global Deluxe Stacking Chair, Gray",Andy Yotov,United States,CA,Oceanside,92054,16-12-2018,21-12-2018,Second Class,Corporate,Furniture,Chairs,81.567999999999998,2,9.1764,0.20000000000000001,West,Global,Customer found cheaper item elsewhere,
